"V1","V2","V3","V4","V5","V6"
"148","BHS","143",NA,"Bahamas, The","8,511",""
"149","NER","144",NA,"Niger","8,169",""
"150","MDA","145",NA,"Moldova","7,962","f"
"151","RWA","146",NA,"Rwanda","7,890",""
"152","KGZ","147",NA,"Kyrgyz Republic","7,404",""
"153","KSV","148",NA,"Kosovo","7,387",""
"154","GIN","149",NA,"Guinea","6,624",""
"155","SOM","150",NA,"Somalia","5,707",""
"156","BMU","151",NA,"Bermuda","5,574",""
"157","LIE","152",NA,"Liechtenstein","5,488",""
"158","SUR","153",NA,"Suriname","5,210",""
"159","MRT","154",NA,"Mauritania","5,061",""
"160","SLE","155",NA,"Sierra Leone","4,838",""
"161","MNE","156",NA,"Montenegro","4,588",""
"162","FJI","157",NA,"Fiji","4,532",""
"163","TGO","158",NA,"Togo","4,518",""
"164","SWZ","159",NA,"Swaziland","4,413",""
"165","BRB","160",NA,"Barbados","4,355",""
"166","MWI","161",NA,"Malawi","4,258",""
"167","ADO","162",NA,"Andorra","3,249",""
"168","GUY","163",NA,"Guyana","3,097",""
"169","BDI","164",NA,"Burundi","3,094",""
"170","MDV","165",NA,"Maldives","3,062",""
"171","FRO","166",NA,"Faroe Islands","2,613",""
"172","GRL","167",NA,"Greenland","2,441",""
"173","LSO","168",NA,"Lesotho","2,181",""
"174","LBR","169",NA,"Liberia","2,013",""
"175","BTN","170",NA,"Bhutan","1,959",""
"176","CPV","171",NA,"Cabo Verde","1,871",""
"177","CAF","172",NA,"Central African Republic","1,723",""
"178","BLZ","173",NA,"Belize","1,699",""
"179","DJI","174",NA,"Djibouti","1,589",""
"180","SYC","175",NA,"Seychelles","1,423",""
"181","TMP","176",NA,"Timor-Leste","1,417",""
"182","LCA","177",NA,"St. Lucia","1,404",""
"183","ATG","178",NA,"Antigua and Barbuda","1,221",""
"184","SLB","179",NA,"Solomon Islands","1,158",""
"185","GNB","180",NA,"Guinea-Bissau","1,022",""
"186","GRD","181",NA,"Grenada","912",""
"187","KNA","182",NA,"St. Kitts and Nevis","852",""
"188","GMB","183",NA,"Gambia, The","851",""
"189","VUT","184",NA,"Vanuatu","815",""
"190","WSM","185",NA,"Samoa","800",""
"191","VCT","186",NA,"St. Vincent and the Grenadines","729",""
"192","COM","187",NA,"Comoros","624",""
"193","DMA","188",NA,"Dominica","524",""
"194","TON","189",NA,"Tonga","434",""
"195","STP","190",NA,"São Tomé and Principe","337",""
"196","FSM","191",NA,"Micronesia, Fed. Sts.","318",""
"197","PLW","192",NA,"Palau","251",""
"198","MHL","193",NA,"Marshall Islands","187",""
"199","KIR","194",NA,"Kiribati","167",""
"200","TUV","195",NA,"Tuvalu","38",""
"201","","",NA,"","",""
"202","ASM","",NA,"American Samoa"," .. ",""
"203","ABW","",NA,"Aruba"," .. ",""
"204","CYM","",NA,"Cayman Islands"," .. ",""
"205","CHI","",NA,"Channel Islands"," .. ",""
"206","CUW","",NA,"Curaçao"," .. ",""
"207","ERI","",NA,"Eritrea"," .. ",""
"208","PYF","",NA,"French Polynesia"," .. ",""
"209","GUM","",NA,"Guam"," .. ",""
"210","IMY","",NA,"Isle of Man"," .. ",""
"211","PRK","",NA,"Korea, Dem. People's Rep."," .. ",""
"212","MCO","",NA,"Monaco"," .. ",""
"213","NCL","",NA,"New Caledonia"," .. ",""
"214","MNP","",NA,"Northern Mariana Islands"," .. ",""
"215","SMR","",NA,"San Marino"," .. ",""
"216","SXM","",NA,"Sint Maarten (Dutch part)"," .. ",""
"217","MAF","",NA,"St. Martin (French part)"," .. ",""
"218","SYR","",NA,"Syrian Arab Republic"," .. ",""
"219","TCA","",NA,"Turks and Caicos Islands"," .. ",""
"220","VIR","",NA,"Virgin Islands (U.S.)"," .. ",""
"221","","",NA,"","",""
"222","WLD","",NA,"World","77,960,607",""
"223","","",NA,"","",""
"224","LIC","",NA,"Low income","397,849",""
"225","MIC","",NA,"Middle income","24,748,448",""
"226","LMC","",NA,"  Lower middle income","5,781,069",""
"227","UMC","",NA,"  Upper middle income","18,958,149",""
"228","LMY","",NA,"Low & middle income","25,148,400",""
"229","EAP","",NA,"  East Asia & Pacific","12,609,716",""
"230","ECA","",NA,"  Europe & Central Asia","1,817,461",""
"231","LAC","",NA,"  Latin America & Caribbean","4,845,035",""
"232","MNA","",NA,"  Middle East & North Africa","1,556,768",""
"233","SAS","",NA,"  South Asia","2,588,688",""
"234","SSA","",NA,"  Sub-Saharan Africa","1,728,322",""
"235","HIC","",NA,"High income","52,850,488",""
"236","EMU","",NA,"  Euro area","13,410,232",""
"237","","",NA,"","",""
"238","",".. Not available.  ",NA,"","",""
"239","","Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2013 or 2012.",NA,"","",""
"240","","a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to",NA,"","",""
"241","","make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  ",NA,"","",""
"242","","b. Includes Former Spanish Sahara.  c. Covers mainland Tanzania only. d. Data are for the area controlled by the government of Cyprus.",NA,"","",""
"243","","e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",NA,"","",""
