"CountryCode","Ranking","Country.x","Economy","Country.y","IncomeGroup"
"164","SEN","120","Senegal","15,658","Senegal","Lower middle income"
"165","SGP","36","Singapore","307,860","Singapore","High income: nonOECD"
"166","SLB","179","Solomon Islands","1,158","Solomon Islands","Lower middle income"
"167","SLE","155","Sierra Leone","4,838","Sierra Leone","Low income"
"168","SLV","106","El Salvador","25,164","El Salvador","Lower middle income"
"169","SOM","150","Somalia","5,707","Somalia","Low income"
"170","SRB","90","Serbia","43,866","Serbia","Upper middle income"
"171","SSA",NA,"  Sub-Saharan Africa","1,728,322","Sub-Saharan Africa (developing only)",NA
"172","SSD","126","South Sudan","13,282","South Sudan","Lower middle income"
"173","STP","190","São Tomé and Principe","337","São Tomé and Principe","Lower middle income"
"174","SUR","153","Suriname","5,210","Suriname","Upper middle income"
"175","SVK","64","Slovak Republic","100,249","Slovak Republic","High income: OECD"
"176","SVN","83","Slovenia","49,491","Slovenia","High income: OECD"
"177","SWE","21","Sweden","571,090","Sweden","High income: OECD"
"178","SWZ","159","Swaziland","4,413","Swaziland","Lower middle income"
"179","SYC","175","Seychelles","1,423","Seychelles","Upper middle income"
"180","TCD","124","Chad","13,922","Chad","Low income"
"181","TGO","158","Togo","4,518","Togo","Low income"
"182","THA","29","Thailand","404,824","Thailand","Upper middle income"
"183","TJK","141","Tajikistan","9,242","Tajikistan","Low income"
"184","TKM","87","Turkmenistan","47,932","Turkmenistan","Upper middle income"
"185","TMP","176","Timor-Leste","1,417","Timor-Leste","Lower middle income"
"186","TON","189","Tonga","434","Tonga","Upper middle income"
"187","TTO","102","Trinidad and Tobago","28,883","Trinidad and Tobago","High income: nonOECD"
"188","TUN","84","Tunisia","48,613","Tunisia","Upper middle income"
"189","TUR","18","Turkey","798,429","Turkey","Upper middle income"
"190","TUV","195","Tuvalu","38","Tuvalu","Upper middle income"
"191","TZA","86","Tanzania","48,057","Tanzania","Low income"
"192","UGA","104","Uganda","26,998","Uganda","Low income"
"193","UKR","60","Ukraine","131,805","Ukraine","Lower middle income"
"194","UMC",NA,"  Upper middle income","18,958,149","Upper middle income",NA
"195","URY","77","Uruguay","57,471","Uruguay","High income: nonOECD"
"196","USA","1","United States","17,419,000","United States","High income: OECD"
"197","UZB","74","Uzbekistan","62,644","Uzbekistan","Lower middle income"
"198","VCT","186","St. Vincent and the Grenadines","729","St. Vincent and the Grenadines","Upper middle income"
"199","VEN","31","Venezuela, RB","381,286","Venezuela","Upper middle income"
"200","VNM","55","Vietnam","186,205","Vietnam","Lower middle income"
"201","VUT","184","Vanuatu","815","Vanuatu","Lower middle income"
"202","WBG","129","West Bank and Gaza","12,738","West Bank and Gaza","Lower middle income"
"203","WLD",NA,"World","77,960,607","World",NA
"204","WSM","185","Samoa","800","Samoa","Lower middle income"
"205","YEM","93","Yemen, Rep.","35,955","Yemen","Lower middle income"
"206","ZAF","33","South Africa","350,141","South Africa","Upper middle income"
"207","ZAR","97","Congo, Dem. Rep.","33,121","Dem. Rep. Congo","Low income"
"208","ZMB","103","Zambia","27,066","Zambia","Lower middle income"
"209","ZWE","122","Zimbabwe","14,197","Zimbabwe","Low income"
