"CountryCode","Ranking","Country.x","Economy","IncomeGroup","IncomeBreak"
"102","KWT",57,"Kuwait",163612,"High income: nonOECD",4
"16","BGD",56,"Bangladesh",172887,"Low income",3
"200","VNM",55,"Vietnam",186205,"Lower middle income",2
"158","ROM",54,"Romania",199044,"Upper middle income",1
"145","NZL",53,"New Zealand",199970,"High income: OECD",5
"149","PER",52,"Peru",202596,"Upper middle income",1
"44","CZE",51,"Czech Republic",205270,"High income: OECD",5
"157","QAT",50,"Qatar",210109,"High income: nonOECD",4
"50","DZA",49,"Algeria",213518,"Upper middle income",1
"94","KAZ",48,"Kazakhstan",217872,"Upper middle income",1
"87","IRQ",47,"Iraq",223500,"Upper middle income",1
"155","PRT",46,"Portugal",230117,"High income: OECD",5
"72","GRC",45,"Greece",235574,"High income: OECD",5
"147","PAK",44,"Pakistan",243632,"Lower middle income",2
"85","IRL",43,"Ireland",250814,"High income: OECD",5
"33","CHL",42,"Chile",258062,"High income: OECD",5
"59","FIN",41,"Finland",272217,"High income: OECD",5
"150","PHL",40,"Philippines",284777,"Lower middle income",2
"78","HKG",39,"Hong Kong SAR, China",290896,"High income: nonOECD",4
"54","EGY",38,"Egypt, Arab Rep.",301499,"Lower middle income",2
"89","ISR",37,"Israel",305675,"High income: OECD",5
"165","SGP",36,"Singapore",307860,"High income: nonOECD",4
"137","MYS",35,"Malaysia",338104,"Upper middle income",1
"48","DNK",34,"Denmark",342362,"High income: OECD",5
"206","ZAF",33,"South Africa",350141,"Upper middle income",1
"38","COL",32,"Colombia",377740,"Upper middle income",1
"199","VEN",31,"Venezuela, RB",381286,"Upper middle income",1
"5","ARE",30,"United Arab Emirates",399451,"High income: nonOECD",4
"182","THA",29,"Thailand",404824,"Upper middle income",1
"86","IRN",28,"Iran, Islamic Rep.",425326,"Upper middle income",1
"10","AUT",27,"Austria",436888,"High income: OECD",5
"143","NOR",26,"Norway",499817,"High income: OECD",5
"13","BEL",25,"Belgium",531547,"High income: OECD",5
"6","ARG",24,"Argentina",537660,"Upper middle income",1
"153","POL",23,"Poland",544967,"High income: OECD",5
"140","NGA",22,"Nigeria",568508,"Lower middle income",2
"177","SWE",21,"Sweden",571090,"High income: OECD",5
"32","CHE",20,"Switzerland",701037,"High income: OECD",5
"162","SAU",19,"Saudi Arabia",753832,"High income: nonOECD",4
"189","TUR",18,"Turkey",798429,"Upper middle income",1
"142","NLD",17,"Netherlands",879319,"High income: OECD",5
"83","IDN",16,"Indonesia",888538,"Lower middle income",2
"123","MEX",15,"Mexico",1294690,"Upper middle income",1
"56","ESP",14,"Spain",1381342,"High income: OECD",5
"100","KOR",13,"Korea, Rep.",1410383,"High income: OECD",5
"9","AUS",12,"Australia",1454675,"High income: OECD",5
"31","CAN",11,"Canada",1785387,"High income: OECD",5
"159","RUS",10,"Russian Federation",1860598,"High income: nonOECD",4
"84","IND",9,"India",2048517,"Lower middle income",2
"90","ITA",8,"Italy",2141161,"High income: OECD",5
"25","BRA",7,"Brazil",2416636,"Upper middle income",1
"61","FRA",6,"France",2829192,"High income: OECD",5
"65","GBR",5,"United Kingdom",2988893,"High income: OECD",5
"45","DEU",4,"Germany",3868291,"High income: OECD",5
"93","JPN",3,"Japan",4601461,"High income: OECD",5
"34","CHN",2,"China",10354832,"Upper middle income",1
"196","USA",1,"United States",17419000,"High income: OECD",5
