"CountryCode","Ranking","Country.x","Economy","IncomeGroup"
"131","MNE",156,"Montenegro","4,588","Upper middle income"
"132","MNG",133,"Mongolia","12,016","Lower middle income"
"133","MOZ",118,"Mozambique","15,938","Low income"
"134","MRT",154,"Mauritania","5,061","Lower middle income"
"135","MUS",130,"Mauritius","12,630","Upper middle income"
"136","MWI",161,"Malawi","4,258","Low income"
"137","MYS",35,"Malaysia","338,104","Upper middle income"
"138","NAM",128,"Namibia","12,995","Upper middle income"
"139","NER",144,"Niger","8,169","Low income"
"140","NGA",22,"Nigeria","568,508","Lower middle income"
"141","NIC",135,"Nicaragua","11,806","Lower middle income"
"142","NLD",17,"Netherlands","879,319","High income: OECD"
"143","NOR",26,"Norway","499,817","High income: OECD"
"144","NPL",109,"Nepal","19,770","Low income"
"145","NZL",53,"New Zealand","199,970","High income: OECD"
"146","OMN",65,"Oman","81,797","High income: nonOECD"
"147","PAK",44,"Pakistan","243,632","Lower middle income"
"148","PAN",88,"Panama","46,213","Upper middle income"
"149","PER",52,"Peru","202,596","Upper middle income"
"150","PHL",40,"Philippines","284,777","Lower middle income"
"151","PLW",192,"Palau","251","Upper middle income"
"152","PNG",115,"Papua New Guinea","16,929","Lower middle income"
"153","POL",23,"Poland","544,967","High income: OECD"
"154","PRI",62,"Puerto Rico","103,135","High income: nonOECD"
"155","PRT",46,"Portugal","230,117","High income: OECD"
"156","PRY",101,"Paraguay","30,881","Lower middle income"
"157","QAT",50,"Qatar","210,109","High income: nonOECD"
"158","ROM",54,"Romania","199,044","Upper middle income"
"159","RUS",10,"Russian Federation","1,860,598","High income: nonOECD"
"160","RWA",146,"Rwanda","7,890","Low income"
"162","SAU",19,"Saudi Arabia","753,832","High income: nonOECD"
"163","SDN",70,"Sudan","73,815","Lower middle income"
"164","SEN",120,"Senegal","15,658","Lower middle income"
"165","SGP",36,"Singapore","307,860","High income: nonOECD"
"166","SLB",179,"Solomon Islands","1,158","Lower middle income"
"167","SLE",155,"Sierra Leone","4,838","Low income"
"168","SLV",106,"El Salvador","25,164","Lower middle income"
"169","SOM",150,"Somalia","5,707","Low income"
"170","SRB",90,"Serbia","43,866","Upper middle income"
"172","SSD",126,"South Sudan","13,282","Lower middle income"
"173","STP",190,"São Tomé and Principe","337","Lower middle income"
"174","SUR",153,"Suriname","5,210","Upper middle income"
"175","SVK",64,"Slovak Republic","100,249","High income: OECD"
"176","SVN",83,"Slovenia","49,491","High income: OECD"
"177","SWE",21,"Sweden","571,090","High income: OECD"
"178","SWZ",159,"Swaziland","4,413","Lower middle income"
"179","SYC",175,"Seychelles","1,423","Upper middle income"
"180","TCD",124,"Chad","13,922","Low income"
"181","TGO",158,"Togo","4,518","Low income"
"182","THA",29,"Thailand","404,824","Upper middle income"
"183","TJK",141,"Tajikistan","9,242","Low income"
"184","TKM",87,"Turkmenistan","47,932","Upper middle income"
"185","TMP",176,"Timor-Leste","1,417","Lower middle income"
"186","TON",189,"Tonga","434","Upper middle income"
"187","TTO",102,"Trinidad and Tobago","28,883","High income: nonOECD"
"188","TUN",84,"Tunisia","48,613","Upper middle income"
"189","TUR",18,"Turkey","798,429","Upper middle income"
"190","TUV",195,"Tuvalu","38","Upper middle income"
"191","TZA",86,"Tanzania","48,057","Low income"
"192","UGA",104,"Uganda","26,998","Low income"
"193","UKR",60,"Ukraine","131,805","Lower middle income"
"195","URY",77,"Uruguay","57,471","High income: nonOECD"
"196","USA",1,"United States","17,419,000","High income: OECD"
"197","UZB",74,"Uzbekistan","62,644","Lower middle income"
"198","VCT",186,"St. Vincent and the Grenadines","729","Upper middle income"
"199","VEN",31,"Venezuela, RB","381,286","Upper middle income"
"200","VNM",55,"Vietnam","186,205","Lower middle income"
"201","VUT",184,"Vanuatu","815","Lower middle income"
"202","WBG",129,"West Bank and Gaza","12,738","Lower middle income"
"204","WSM",185,"Samoa","800","Lower middle income"
"205","YEM",93,"Yemen, Rep.","35,955","Lower middle income"
"206","ZAF",33,"South Africa","350,141","Upper middle income"
"207","ZAR",97,"Congo, Dem. Rep.","33,121","Low income"
"208","ZMB",103,"Zambia","27,066","Lower middle income"
"209","ZWE",122,"Zimbabwe","14,197","Low income"
