"Ranking","IncomeGroup","CountryQuartile"
"113",179,"Upper middle income",5
"114",178,"High income: OECD",5
"115",177,"Upper middle income",5
"116",176,"High income: nonOECD",5
"117",175,"Low income",5
"118",173,"Upper middle income",5
"119",172,"High income: nonOECD",5
"120",171,"High income: nonOECD",5
"121",170,"Lower middle income",5
"122",169,"Low income",5
"123",168,"Lower middle income",5
"124",167,"Upper middle income",5
"125",166,"Low income",5
"126",165,"High income: OECD",5
"127",164,"Lower middle income",5
"128",162,"Upper middle income",5
"129",161,"Upper middle income",5
"130",160,"Upper middle income",5
"131",159,"Lower middle income",5
"132",158,"High income: nonOECD",5
"133",157,"High income: OECD",5
"134",156,"Upper middle income",4
"135",155,"High income: nonOECD",4
"136",154,"Lower middle income",4
"137",153,"Lower middle income",4
"138",151,"Upper middle income",4
"139",150,"Upper middle income",4
"140",149,"High income: nonOECD",4
"141",148,"Low income",4
"142",147,"Lower middle income",4
"143",146,"Upper middle income",4
"144",145,"High income: OECD",4
"145",144,"Upper middle income",4
"146",143,"High income: OECD",4
"147",142,"High income: nonOECD",4
"148",140,"Upper middle income",4
"149",139,"Upper middle income",4
"150",138,"Upper middle income",4
"151",137,"High income: OECD",4
"152",136,"High income: OECD",4
"153",135,"Lower middle income",4
"154",134,"High income: OECD",4
"155",133,"High income: OECD",4
"156",132,"High income: OECD",4
"157",131,"Lower middle income",4
"158",129,"High income: nonOECD",4
"159",128,"Lower middle income",4
"160",127,"High income: OECD",4
"161",126,"High income: nonOECD",4
"162",125,"Upper middle income",4
"163",124,"High income: OECD",4
"164",123,"Upper middle income",4
"165",122,"Upper middle income",4
"166",121,"Upper middle income",4
"167",120,"High income: nonOECD",4
"168",118,"Upper middle income",4
"169",117,"Upper middle income",3
"170",116,"High income: OECD",3
"171",115,"High income: OECD",3
"172",114,"High income: OECD",3
"173",113,"Upper middle income",3
"174",112,"High income: OECD",3
"175",111,"Lower middle income",3
"176",110,"High income: OECD",3
"177",109,"High income: OECD",3
"178",101,"High income: nonOECD",3
"179",90,"Upper middle income",3
"180",79,"High income: OECD",3
"181",68,"Lower middle income",2
"182",57,"Upper middle income",2
"183",46,"High income: OECD",2
"184",35,"High income: OECD",1
"185",24,"High income: OECD",1
"186",13,"High income: OECD",1
"187",2,"High income: nonOECD",1
"188",185,"Lower middle income",5
"189",174,"High income: OECD",5
"190",163,"Upper middle income",5
"191",152,"High income: OECD",4
"192",141,"High income: OECD",4
"193",130,"High income: OECD",4
"194",119,"High income: OECD",4
"195",108,"Upper middle income",3
"196",1,"High income: OECD",1
